config,target,metric,value
weighted,fixture:fp-aarch64,correct,1
weighted,fixture:fp-aarch64,run_median_s,0.000925
weighted,fixture:fp-aarch64,run_min_s,0.000697
weighted+remat,fixture:fp-aarch64,compile_s,1.673
weighted+remat,fixture:fp-aarch64,obj_bytes,41032
weighted+remat,fixture:fp-aarch64,text_bytes,34583
weighted+remat,fixture:fp-aarch64,insns,8478
weighted+remat,fixture:fp-aarch64,ldr_sp,1635
weighted+remat,fixture:fp-aarch64,str_sp,2048
weighted+remat,fixture:fp-aarch64,ldp_sp,0
weighted+remat,fixture:fp-aarch64,stp_sp,0
weighted+remat,fixture:fp-aarch64,mov_imm,1554
weighted+remat,fixture:fp-aarch64,objects,1
weighted+remat,fixture:fp-aarch64,correct,1
weighted+remat,fixture:fp-aarch64,run_median_s,0.000976
weighted+remat,fixture:fp-aarch64,run_min_s,0.000692
weighted+remat+spectral,fixture:fp-aarch64,compile_s,1.675
weighted+remat+spectral,fixture:fp-aarch64,obj_bytes,41072
weighted+remat+spectral,fixture:fp-aarch64,text_bytes,34623
weighted+remat+spectral,fixture:fp-aarch64,insns,8488
weighted+remat+spectral,fixture:fp-aarch64,ldr_sp,1640
weighted+remat+spectral,fixture:fp-aarch64,str_sp,2052
weighted+remat+spectral,fixture:fp-aarch64,ldp_sp,0
weighted+remat+spectral,fixture:fp-aarch64,stp_sp,0
weighted+remat+spectral,fixture:fp-aarch64,mov_imm,1555
weighted+remat+spectral,fixture:fp-aarch64,objects,1
weighted+remat+spectral,fixture:fp-aarch64,correct,1
weighted+remat+spectral,fixture:fp-aarch64,run_median_s,0.000885
weighted+remat+spectral,fixture:fp-aarch64,run_min_s,0.000694
eregalloc-c0,fixture:fp-aarch64,compile_s,2.097
eregalloc-c0,fixture:fp-aarch64,obj_bytes,37696
eregalloc-c0,fixture:fp-aarch64,text_bytes,31247
eregalloc-c0,fixture:fp-aarch64,insns,7644
eregalloc-c0,fixture:fp-aarch64,ldr_sp,1639
eregalloc-c0,fixture:fp-aarch64,str_sp,1633
eregalloc-c0,fixture:fp-aarch64,ldp_sp,0
eregalloc-c0,fixture:fp-aarch64,stp_sp,0
eregalloc-c0,fixture:fp-aarch64,mov_imm,1133
eregalloc-c0,fixture:fp-aarch64,objects,1
eregalloc-c0,fixture:fp-aarch64,correct,1
eregalloc-c0,fixture:fp-aarch64,run_median_s,0.000831
eregalloc-c0,fixture:fp-aarch64,run_min_s,0.000684
eregalloc-c0+spectral,fixture:fp-aarch64,compile_s,2.108
eregalloc-c0+spectral,fixture:fp-aarch64,obj_bytes,37696
eregalloc-c0+spectral,fixture:fp-aarch64,text_bytes,31243
eregalloc-c0+spectral,fixture:fp-aarch64,insns,7643
eregalloc-c0+spectral,fixture:fp-aarch64,ldr_sp,1638
eregalloc-c0+spectral,fixture:fp-aarch64,str_sp,1632
eregalloc-c0+spectral,fixture:fp-aarch64,ldp_sp,0
eregalloc-c0+spectral,fixture:fp-aarch64,stp_sp,0
eregalloc-c0+spectral,fixture:fp-aarch64,mov_imm,1134
eregalloc-c0+spectral,fixture:fp-aarch64,objects,1
eregalloc-c0+spectral,fixture:fp-aarch64,correct,1
eregalloc-c0+spectral,fixture:fp-aarch64,run_median_s,0.000892
