config,target,metric,value
weighted+remat,fixture:int128-aarch64,str_sp,5367
weighted+remat,fixture:int128-aarch64,ldp_sp,0
weighted+remat,fixture:int128-aarch64,stp_sp,0
weighted+remat,fixture:int128-aarch64,mov_imm,4815
weighted+remat,fixture:int128-aarch64,objects,1
weighted+remat,fixture:int128-aarch64,correct,1
weighted+remat,fixture:int128-aarch64,run_median_s,0.000695
weighted+remat,fixture:int128-aarch64,run_min_s,0.000648
weighted+remat+spectral,fixture:int128-aarch64,compile_s,5.736
weighted+remat+spectral,fixture:int128-aarch64,obj_bytes,110256
weighted+remat+spectral,fixture:int128-aarch64,text_bytes,96045
weighted+remat+spectral,fixture:int128-aarch64,insns,23476
weighted+remat+spectral,fixture:int128-aarch64,ldr_sp,4399
weighted+remat+spectral,fixture:int128-aarch64,str_sp,5370
weighted+remat+spectral,fixture:int128-aarch64,ldp_sp,0
weighted+remat+spectral,fixture:int128-aarch64,stp_sp,0
weighted+remat+spectral,fixture:int128-aarch64,mov_imm,4816
weighted+remat+spectral,fixture:int128-aarch64,objects,1
weighted+remat+spectral,fixture:int128-aarch64,correct,1
weighted+remat+spectral,fixture:int128-aarch64,run_median_s,0.000744
