config,target,metric,value
weighted,fixture:sudoku-aarch64,mov_imm,491
weighted,fixture:sudoku-aarch64,objects,1
weighted,fixture:sudoku-aarch64,correct,1
weighted,fixture:sudoku-aarch64,run_median_s,0.003025
weighted,fixture:sudoku-aarch64,run_min_s,0.002961
weighted+remat,fixture:sudoku-aarch64,compile_s,1.323
weighted+remat,fixture:sudoku-aarch64,obj_bytes,17168
weighted+remat,fixture:sudoku-aarch64,text_bytes,15228
weighted+remat,fixture:sudoku-aarch64,insns,3783
weighted+remat,fixture:sudoku-aarch64,ldr_sp,781
weighted+remat,fixture:sudoku-aarch64,str_sp,1036
weighted+remat,fixture:sudoku-aarch64,ldp_sp,0
weighted+remat,fixture:sudoku-aarch64,stp_sp,0
weighted+remat,fixture:sudoku-aarch64,mov_imm,706
weighted+remat,fixture:sudoku-aarch64,objects,1
weighted+remat,fixture:sudoku-aarch64,correct,1
weighted+remat,fixture:sudoku-aarch64,run_median_s,0.002948
weighted+remat,fixture:sudoku-aarch64,run_min_s,0.002838
weighted+remat+spectral,fixture:sudoku-aarch64,compile_s,1.337
